case_id,accepted_name,query,rank,candidate,slot_id,score,rank_score,bm25_score,vector_score
eval_001,호흡곤란,숨이 차서 호흡곤란이 있습니다,1,호흡곤란,dyspnea,1.0,1.6963,1.0,0.3996
eval_001,호흡곤란,숨이 차서 호흡곤란이 있습니다,2,빈호흡,symptom:e3fb3f1d30,0.7609,0.87,0.3617,0.4017
eval_001,호흡곤란,숨이 차서 호흡곤란이 있습니다,3,운동 시 호흡곤란,symptom:a243309094,0.863,0.8653,0.5659,0.3466
eval_003,기침,기침이 안 멎어서 기침이 지속되고 있습니다,1,기침,cough,0.9,1.5197,0.4848,0.338
eval_003,기침,기침이 안 멎어서 기침이 지속되고 있습니다,2,말초부종,symptom:331b559ac3,0.7638,0.642,1.0,0.1103
eval_003,기침,기침이 안 멎어서 기침이 지속되고 있습니다,3,구토,symptom:29fe75f845,0.6736,0.6134,0.6673,0.1559
eval_004,콧물,콧물은 안주 나와요 콧물이 계속 나오고 있습니다,1,콧물,rhinorrhea,1.0,1.7,1.0,0.3437
eval_004,콧물,콧물은 안주 나와요 콧물이 계속 나오고 있습니다,2,코막힘,nasal_obstruction,0.8755,0.8049,0.8176,0.232
eval_004,콧물,콧물은 안주 나와요 콧물이 계속 나오고 있습니다,3,재채기,symptom:f0ff1b70a5,0.7686,0.7076,0.7072,0.201
eval_005,어지러움,어지러운 게 더 심해졌어요 어지러움이 더 심해졌습니다,1,어지러움,symptom:9e9c6673c9,1.0,1.7,1.0,0.4368
eval_005,어지러움,어지러운 게 더 심해졌어요 어지러움이 더 심해졌습니다,2,가래,sputum,0.3824,0.3447,0.0551,0.1649
eval_005,어지러움,어지러운 게 더 심해졌어요 어지러움이 더 심해졌습니다,3,구토,symptom:29fe75f845,0.3305,0.3007,0.0308,0.141
eval_006,기운없음,안주 기운이 하나도 없어요 기운이 전혀 없습니다,1,기운없음,symptom:3a6b475b6a,1.0,1.7,1.0,0.4676
eval_006,기운없음,안주 기운이 하나도 없어요 기운이 전혀 없습니다,2,빈호흡,symptom:e3fb3f1d30,0.4506,0.3826,0.0986,0.1928
eval_006,기운없음,안주 기운이 하나도 없어요 기운이 전혀 없습니다,3,천명음,wheezing,0.3643,0.3138,0.0492,0.1558
eval_007,반복되는 폐렴,어깨에서 팔로 찌르르 뻗치듯 아파요 어깨에서 팔로 찌르는 통증이 있습니다,1,반복되는 폐렴,symptom:ade69fdbb3,0.6529,0.7895,0.5558,0.177
eval_007,반복되는 폐렴,어깨에서 팔로 찌르르 뻗치듯 아파요 어깨에서 팔로 찌르는 통증이 있습니다,2,폐부종,symptom:2c8be00e20,0.6331,0.7515,0.5587,0.1643
eval_007,반복되는 폐렴,어깨에서 팔로 찌르르 뻗치듯 아파요 어깨에서 팔로 찌르는 통증이 있습니다,3,천명음,wheezing,0.6262,0.7326,0.5695,0.1569
eval_008,가래,이번엔 가래에 피가 쪼매 섞여 나와요 이번에 가래에 피가 섞여 나옵니다,1,가래,sputum,1.0,1.275,1.0,0.3061
eval_008,가래,이번엔 가래에 피가 쪼매 섞여 나와요 이번에 가래에 피가 섞여 나옵니다,2,객혈,hemoptysis,0.9,1.1874,0.4402,0.1628
eval_008,가래,이번엔 가래에 피가 쪼매 섞여 나와요 이번에 가래에 피가 섞여 나옵니다,3,거품이 섞인 가래,symptom:129b5a70ed,0.6158,0.7197,0.1696,0.2706
eval_009,어지러움,어지러운 건 그대로드래요 어지러움이 그대로 남아 있습니다,1,어지러움,symptom:9e9c6673c9,1.0,1.7,1.0,0.4326
eval_009,어지러움,어지러운 건 그대로드래요 어지러움이 그대로 남아 있습니다,2,권태감,symptom:31a60ea1ae,0.2772,0.2515,0.0627,0.0995
eval_009,어지러움,어지러운 건 그대로드래요 어지러움이 그대로 남아 있습니다,3,삼키기 곤란,dysphagia,0.2775,0.251,0.0704,0.0974
eval_011,곤봉지,더부룩해서 배가 더부룩합니다,1,곤봉지,symptom:8436aac52b,0.5421,0.8078,0.3342,0.177
eval_011,곤봉지,더부룩해서 배가 더부룩합니다,2,호기의 증가,symptom:0a6604a5d8,0.491,0.7164,0.3131,0.1526
eval_011,곤봉지,더부룩해서 배가 더부룩합니다,3,반복되는 폐렴,symptom:ade69fdbb3,0.3383,0.6671,0.0488,0.1883
eval_012,기침,기침이 자꾸 나와서 기침이 자주 납니다,1,기침,cough,1.0,1.7,1.0,0.4484
eval_012,기침,기침이 자꾸 나와서 기침이 자주 납니다,2,가래,sputum,0.8722,0.7095,0.7021,0.2647
eval_012,기침,기침이 자꾸 나와서 기침이 자주 납니다,3,검은색 가래,symptom:c9b9036b3a,0.7368,0.652,0.3136,0.3189
eval_013,기침,기침이 오히려 더 심해졌어요 기침이 더 심해졌습니다,1,기침,cough,0.9393,1.6575,0.8787,0.327
eval_013,기침,기침이 오히려 더 심해졌어요 기침이 더 심해졌습니다,2,구토,symptom:29fe75f845,0.8953,0.8672,0.7503,0.2641
eval_013,기침,기침이 오히려 더 심해졌어요 기침이 더 심해졌습니다,3,결막염,symptom:7a281d2ec2,0.9431,0.8625,1.0,0.2178
eval_014,호기의 증가,전엔 없던 다리 붓기가 새로 생겼어요 전에는 없던 다리 붓기가 새로 생겼습니다,1,호기의 증가,symptom:0a6604a5d8,0.2992,0.6762,0.0748,0.1571
eval_014,호기의 증가,전엔 없던 다리 붓기가 새로 생겼어요 전에는 없던 다리 붓기가 새로 생겼습니다,2,호흡기감염,symptom:1d4021c99f,0.5524,0.629,0.6999,0.0735
eval_014,호기의 증가,전엔 없던 다리 붓기가 새로 생겼어요 전에는 없던 다리 붓기가 새로 생겼습니다,3,코막힘,nasal_obstruction,0.5038,0.6229,0.5713,0.0829
eval_016,가래,거품 같은 가래가 자꾸 올라오드래요 거품 같은 가래가 자꾸 올라옵니다,1,가래,sputum,0.9,1.4393,0.7859,0.3135
eval_016,가래,거품 같은 가래가 자꾸 올라오드래요 거품 같은 가래가 자꾸 올라옵니다,2,거품이 섞인 가래,symptom:129b5a70ed,1.0,1.1008,1.0,0.439
eval_016,가래,거품 같은 가래가 자꾸 올라오드래요 거품 같은 가래가 자꾸 올라옵니다,3,검은색 가래,symptom:c9b9036b3a,0.932,0.8668,0.7039,0.3576
eval_017,가래,가래가 거뭇하게 나오는데 가래가 거뭇하게 나옵니다,1,가래,sputum,0.9,1.4725,0.5785,0.3184
eval_017,가래,가래가 거뭇하게 나오는데 가래가 거뭇하게 나옵니다,2,검은색 가래,symptom:c9b9036b3a,1.0,1.0917,1.0,0.3631
eval_017,가래,가래가 거뭇하게 나오는데 가래가 거뭇하게 나옵니다,3,거품이 섞인 가래,symptom:129b5a70ed,0.7146,0.7197,0.2794,0.2969
eval_018,온몸이 떨림,온몸이 나른하고 온몸이 나른합니다,1,온몸이 떨림,symptom:57ad1f5606,1.0,1.1113,1.0,0.2717
eval_018,온몸이 떨림,온몸이 나른하고 온몸이 나른합니다,2,기운없음,symptom:3a6b475b6a,0.9,1.0494,0.0,0.1461
eval_018,온몸이 떨림,온몸이 나른하고 온몸이 나른합니다,3,지남력 장애,symptom:78fcb0137a,0.3506,0.5033,0.0,0.2104
eval_018,어지러움,자꾸 처지드래요 자꾸 처집니다,1,어지러움,symptom:9e9c6673c9,0.9,1.2889,0.0,0.1393
eval_018,어지러움,자꾸 처지드래요 자꾸 처집니다,2,사지 부종,symptom:bf32e52932,0.2178,0.65,0.0,0.1538
eval_018,어지러움,자꾸 처지드래요 자꾸 처집니다,3,권태감,symptom:31a60ea1ae,0.3387,0.6407,0.1039,0.124
eval_019,기침,밤에 기침이 심해져서 밤에 기침이 심해졌습니다,1,기침,cough,0.9,1.49,0.3999,0.2771
eval_019,기침,밤에 기침이 심해져서 밤에 기침이 심해졌습니다,2,구토,symptom:29fe75f845,0.9353,0.9467,0.9525,0.2274
eval_019,기침,밤에 기침이 심해져서 밤에 기침이 심해졌습니다,3,검은색 가래,symptom:c9b9036b3a,0.6229,0.7449,0.2804,0.2416
eval_019,인지장애,잠을 못 자요 잠을 잘 수 없습니다,1,인지장애,symptom:4193aea134,0.8196,1.0781,0.9534,0.1577
eval_019,인지장애,잠을 못 자요 잠을 잘 수 없습니다,2,지남력 장애,symptom:78fcb0137a,0.8114,1.0156,1.0,0.1389
