variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
G,eval_007,no_prediction|extraction_gold_mismatch,방사통,,방사통,20,,어깨에서 팔로 찌르는 통증이 있습니다 어깨에서 팔로 찌르는 통증,어깨에서 팔로 찌르는 통증,있음,symptom,1,0
G,eval_011,no_prediction|extraction_gold_mismatch,복부팽만감,,복부팽만감,20,,배가 빵빵합니다 배 빵빵함 || 배가 더부룩합니다 배 더부룩함,배 빵빵함; 배 더부룩함,있음; 있음,symptom; symptom,2,0
G,eval_014,no_prediction|extraction_gold_mismatch,하지부종,,하지부종,20,,전에는 없던 다리 붓기가 새로 생겼습니다 다리 붓기,다리 붓기,있음,new,1,0
G,eval_015,miss_all_gold|extraction_gold_mismatch,호흡곤란,,호흡곤란,20,빈호흡,"혈압약만 먹는데, 요새 가만있어도 숨이 가빠요.",,있음,symptom,1,0
G,eval_017,no_prediction|extraction_gold_mismatch,검은색 가래,,검은색 가래,20,,가래가 거뭇하게 나옵니다 거뭇한 가래,거뭇한 가래,있음,symptom,1,0
G,eval_018,miss_all_gold|extraction_gold_mismatch,권태감,,권태감,20,피로감,온몸이 나른합니다 온몸 나른함 || 자꾸 처집니다 자꾸 처짐,온몸 나른함; 자꾸 처짐,있음; 있음,symptom; symptom,2,0
G,eval_021,no_prediction|extraction_gold_mismatch,근력 약화,,근력 약화,20,,팔다리에 힘이 들어가지 않습니다 팔다리 힘 없음,팔다리 힘 없음,있음,symptom,1,0
G,eval_024,partial_miss|extraction_gold_mismatch,재채기,,재채기; 콧물,20,콧물,재채기가 멎질 않고 콧물도 마이 나와요.,,있음,symptom,1,0
G,eval_025,no_prediction|extraction_gold_mismatch,흉통,,흉통,20,,숨을 쉴 때마다 가슴 한쪽이 결립니다 가슴 결림,가슴 결림,있음,symptom,1,0
G,eval_026,no_prediction|extraction_gold_mismatch,복부 통증,,복부 통증,20,,배가 살살 아픕니다 배 살살 아픔,배 살살 아픔,있음,symptom,1,0
G,eval_029,no_prediction|extraction_gold_mismatch,근육통,,근육통,20,,온몸이 쑤십니다 온몸 쑤심 || 몸살이 난 것 같습니다,온몸 쑤심; 몸살,있음; 있음,symptom; symptom,2,0
G,eval_032,no_prediction|extraction_gold_mismatch,근육통,,근육통,20,,온몸이 쑤시고 결리는 느낌이 남아 있습니다 온몸 쑤심과 결림,온몸 쑤심과 결림,있음,symptom,1,1
G,eval_033,no_prediction|extraction_gold_mismatch,오한,,오한,20,,한기가 들어 이불을 덮어도 춥습니다 한기 들어 춥다,한기 들어 춥다,있음,symptom,1,0
G,eval_041,partial_miss|extraction_gold_mismatch,빈맥,,불안; 빈맥,20,불안; 부정맥,심장이 너무 빨리 뛰고 있습니다 심장 빠른 박동 || 불안감이 있습니다 불안감,심장 빠른 박동; 불안감,있음; 있음,symptom; symptom,2,0
G,eval_043,no_prediction|extraction_gold_mismatch,두통,,두통,20,,뒷골이 당기고 머리깽이가 무거워요.,,있음,symptom,1,0
G,eval_045,no_prediction|extraction_gold_mismatch,목의 통증,,목의 통증,20,,목이 칼칼합니다 목 칼칼함 || 목이 부은 것처럼 아프다고 말했습니다 목 부은 것처럼 아픔,목 칼칼함; 목 부은 것처럼 아픔,있음; 있음,symptom; symptom,2,0
G,eval_049,no_prediction|extraction_gold_mismatch,설사,,설사,20,,하루에 몇 번씩 무른 변을 보고 있습니다 하루에 몇 번씩 무른 변,하루에 몇 번씩 무른 변,있음,symptom,1,0
G,eval_051,miss_all_gold|extraction_gold_mismatch,사지 부종,,사지 부종,20,말초부종,손발이 매우 부어오릅니다 손발 부어오름,손발 부어오름,있음,symptom,1,0
G,eval_056,no_prediction|extraction_gold_mismatch,흉통,,흉통,20,,가슴의 한쪽에 찌르는 통증이 있습니다 가슴 찌르는 통증,가슴 찌르는 통증,있음,symptom,1,0
G,eval_061,no_prediction|extraction_gold_mismatch,근육통,,근육통,20,,삭신이 쑤십니다 삭신 쑤심 || 결려서 움직일 수 없습니다 결림,삭신 쑤심; 결림,있음; 있음,symptom; symptom,2,0
G,eval_065,miss_all_gold|extraction_gold_mismatch,흉통,,흉통,20,가슴 답답,전에는 없던 가슴 결림이 새로 생겼습니다 가슴 결림,가슴 결림,있음,new,1,0
G,eval_066,no_prediction|extraction_gold_mismatch,하지부종,,하지부종,20,,다리가 부어오릅니다 다리 부어오름,다리 부어오름,있음,symptom,1,0
G,eval_070,no_prediction|extraction_gold_mismatch,두통,,두통,20,,머리가 지끈지끈 쑤시는 통증이 있습니다 머리 지끈지끈 쑤시는 통증,머리 지끈지끈 쑤시는 통증,있음,symptom,1,0
G,eval_073,no_prediction|extraction_gold_mismatch,하지부종,,하지부종,20,,전에는 없던 다리 부기가 지금 있습니다 다리 부기,다리 부기,있음,new,1,0
G,eval_074,no_prediction|extraction_gold_mismatch,발한,,발한,20,,요즘 들어 밤에 식은땀이 많아졌습니다 식은땀 증가,식은땀 증가,있음,new,1,0
G,eval_075,no_prediction|extraction_gold_mismatch,목의 통증,,목의 통증,20,,목이 부어서 매우 아파합니다 목 부어서 아픔,목 부어서 아픔,있음,symptom,1,1
G,eval_092,partial_miss|extraction_gold_mismatch,눈꼽,,눈꼽; 눈의 충혈,20,눈의 충혈,눈이 빨갛고 눈곱이 자꾸 끼드래요.,,있음,symptom,1,0
G,eval_093,no_prediction|extraction_gold_mismatch,삼키기 곤란,,삼키기 곤란,20,,음식이 목에 걸리는 느낌이 들고 잘 넘어가지 않습니다 목 불편,목 불편,있음,symptom,1,0
G,eval_097,no_prediction|extraction_gold_mismatch,두통,,두통,20,,머리가 지끈거립니다 머리 지끈거림,머리 지끈거림,있음,progress_unchanged,1,1
G,eval_099,miss_all_gold|extraction_gold_mismatch,창백,,창백,20,체중감소,얼굴이 살이 빠진 것처럼 보입니다 얼굴 핼쑥함 || 얼굴에 핏기가 없어 보입니다 핏기 없음,얼굴 핼쑥함; 핏기 없음,있음; 있음,symptom; symptom,2,0
G,eval_100,partial_miss|extraction_gold_mismatch,체중감소,,구토; 체중감소,20,구토,자주 구토합니다 자꾸 토함,자꾸 토함,있음,symptom,1,0
