variant,case_id,span_index,query,rank,candidate,slot_id,rank_score,bm25_score,vector_score,label_score,retrieval_branch,embedding_provider,embedding_model,score_mode,gate_decision,gate_reason,gate_support_score,gate_specificity_score,linker_decision,linker_reason,linker_selected,linker_scope
O,eval_001,0,호흡곤란 호흡곤란,1,호흡곤란,dyspnea,0.0799,1.0,0.5518,0.78,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,2,운동 시 호흡곤란,symptom:a243309094,0.0783,0.6513,0.3677,0.3214,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,3,호흡기감염,symptom:1d4021c99f,0.0757,0.3129,0.3806,0.1071,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,4,빈호흡,symptom:e3fb3f1d30,0.0753,0.2912,0.266,0.15,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,5,삼키기 곤란,dysphagia,0.0693,0.136,0.2021,0.1071,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,6,수유 곤란,symptom:50b724dad2,0.0645,0.1017,0.0931,0.125,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,7,불안,symptom:31e7e68566,0.0402,0.3062,0.404,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,8,청색증,symptom:2255dfd144,0.0389,0.3606,0.2142,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,9,발한,symptom:361b63bbd3,0.0382,0.2429,0.3519,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,10,피부홍조,symptom:9b18d49e37,0.0379,0.2332,0.3561,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,11,반복되는 폐렴,symptom:ade69fdbb3,0.0371,0.3518,0.1834,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,12,기침,cough,0.037,0.2412,0.2336,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,13,식욕부진,symptom:8678ac0397,0.0368,0.262,0.2105,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,14,함몰가슴,symptom:9d31f655f3,0.0368,0.4868,0.1703,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,15,권태감,symptom:31a60ea1ae,0.0367,0.2404,0.2183,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,16,흉통,chest_pain,0.0358,0.1665,0.2381,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,17,천명음,wheezing,0.0353,0.3116,0.163,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,18,빈맥,symptom:920af2278a,0.0352,0.2722,0.1754,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,19,폐부종,symptom:2c8be00e20,0.0351,0.3215,0.1462,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_001,0,호흡곤란 호흡곤란,20,체중감소,symptom:ed4d516e68,0.035,0.2568,0.1765,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,1,사래걸림,symptom:92ca1277c1,0.0799,1.0,0.4512,0.78,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,2,가래,sputum,0.0177,0.0,0.1699,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,3,검은색 가래,symptom:c9b9036b3a,0.0175,0.0,0.1526,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,4,객혈,hemoptysis,0.0172,0.0,0.1336,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,5,거품이 섞인 가래,symptom:129b5a70ed,0.0169,0.0,0.125,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,6,사지 부종,symptom:bf32e52932,0.0167,0.0,0.1151,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,7,가슴 두근거림,symptom:30c9328237,0.0164,0.0,0.107,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,8,호흡기감염,symptom:1d4021c99f,0.0162,0.0,0.1057,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,9,기침,cough,0.0159,0.0,0.1048,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,10,반복되는 폐렴,symptom:ade69fdbb3,0.0157,0.0,0.0976,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,11,삼키기 곤란,dysphagia,0.0155,0.0,0.0976,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,12,질식,symptom:86f571c688,0.0153,0.0,0.0946,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,13,호흡곤란,dyspnea,0.0151,0.0,0.0861,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,14,사망,symptom:49570025c3,0.0149,0.0,0.0803,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,15,창백,symptom:5913113332,0.0147,0.0,0.0713,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,16,청색증,symptom:2255dfd144,0.0145,0.0,0.066,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,17,운동 시 호흡곤란,symptom:a243309094,0.0143,0.0,0.0645,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,18,어지러움,symptom:9e9c6673c9,0.0141,0.0,0.0645,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,19,호기의 증가,symptom:0a6604a5d8,0.0139,0.0,0.0626,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_002,0,사래걸림 사래걸림,20,빈호흡,symptom:e3fb3f1d30,0.0138,0.0,0.0612,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,1,기침,cough,0.0799,1.0,0.4276,0.78,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,2,천명음,wheezing,0.0408,0.5319,0.1604,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,3,검은색 가래,symptom:c9b9036b3a,0.04,0.275,0.2522,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,4,결막염,symptom:7a281d2ec2,0.04,0.3474,0.1496,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,5,구토,symptom:29fe75f845,0.0399,0.2956,0.1771,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,6,가래,sputum,0.0383,0.2296,0.1708,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,7,화농성 객담,symptom:54da254b40,0.0378,0.1975,0.2065,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,8,오한,symptom:3cd9aa52ce,0.0373,0.3199,0.0844,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,9,근육통,symptom:869ad45ea0,0.037,0.2965,0.0895,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,10,감기 증상,symptom:cabd50b0e8,0.0366,0.2297,0.1219,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,11,빈맥,symptom:920af2278a,0.0366,0.2046,0.135,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
O,eval_003,0,기침 기침,12,빈호흡,symptom:e3fb3f1d30,0.036,0.1382,0.153,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
