variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
C,eval_001,miss_all_gold|extraction_gold_mismatch,호흡곤란,,호흡곤란,20,복벽이 움푹 들어감; 가슴 답답; 가래; 탈장; 빈호흡; 기침; 빈맥; 구토; 지남력 장애; 검은색 가래; 어지러움; 화농성 객담; 열; 감기 증상; 말초부종; 코막힘; 식욕부진; 기운없음; 불안; 결막염,가만있어도 숨이 차서 데우 힘들어요.,,있음,symptom,1,0
C,eval_004,negative_hit|extraction_gold_mismatch,,재채기,콧물,20,재채기; 콧물; 결막염; 코막힘; 근육통; 두통; 구토; 오한; 열; 빈호흡; 체중감소; 기침; 폐부종; 감기 증상; 창백; 복벽이 움푹 들어감; 흉곽 팽윤; 설사; 어지러움; 말초부종,재채기는 멎었는데 콧물은 안주 나와요.,,있음,symptom,1,0
C,eval_006,negative_hit|extraction_gold_mismatch,,오한,기운없음,20,기운없음; 오한; 권태감; 두통; 근육통; 열; 재채기; 객혈; 가래; 구토; 빈호흡; 감기 증상; 무증상; 빈맥; 눈의 충혈; 설사; 빈혈; 발한; 방사통; 압통,오한은 가셨는데 안주 기운이 하나도 없어요.,,있음,symptom,1,0
C,eval_007,miss_all_gold|extraction_gold_mismatch,방사통,,방사통,20,콧물; 가슴 답답; 열; 검은색 가래; 서맥; 화농성 객담; 가래; 지남력 장애; 폐기능저하; 구토; 폐부종; 결막염; 기침; 저산소증; 복벽이 움푹 들어감; 사망; 오한; 어지러움; 흉수; 말초부종,어깨에서 팔로 찌르르 뻗치듯 아파요.,,있음,symptom,1,0
C,eval_011,miss_all_gold|extraction_gold_mismatch,복부팽만감,,복부팽만감,20,열; 호흡곤란; 곤봉지; 불안; 피로감; 호기의 증가; 두통; 권태감; 탈장; 발한; 검은색 가래; 콧물; 복벽이 움푹 들어감; 피부홍조; 말초부종; 반복되는 폐렴; 경정맥 확장; 천식; 운동 시 호흡곤란; 사지 부종,배가 빵빵하고 더부룩해서 불편해요.,,있음,symptom,1,0
C,eval_014,miss_all_gold|extraction_gold_mismatch,하지부종,,하지부종,20,탈장; 호기의 증가; 재채기; 경정맥 확장; 기운없음; 코막힘; 근긴장의 이상; 운동 시 호흡곤란; 체중감소; 사래걸림; 근력 약화; 지남력 장애; 기침; 권태감; 천식; 열; 폐기능저하; 창백; 뇌압상승증상; 불안,전엔 없던 다리 붓기가 새로 생겼어요.,,있음,symptom,1,0
C,eval_015,miss_all_gold|extraction_gold_mismatch,호흡곤란,,호흡곤란,20,폐동맥 고혈압; 화농성 객담; 가슴 답답; 객혈; 열; 가래; 구토; 복벽이 움푹 들어감; 결막염; 빈호흡; 피부홍조; 심부전; 말초부종; 감기 증상; 코막힘; 콧물; 질식; 불안; 발한; 두통,"혈압약만 먹는데, 요새 가만있어도 숨이 가빠요.",,있음,symptom,1,0
C,eval_026,miss_all_gold|extraction_gold_mismatch,복부 통증,,복부 통증,20,탈장; 사망; 열; 불안; 사지 부종; 경정맥 확장; 저산소증; 방사통; 흉수; 호흡곤란; 박동성 통증; 발한; 서맥; 기운없음; 하지부종; 피부홍조; 호기의 증가; 빈호흡; 감기 증상; 목의 통증,배가 살살 아파서 데우 불편해요.,,있음,symptom,1,0
C,eval_027,partial_miss|extraction_gold_mismatch,흉부압박감,,가슴 답답; 흉부압박감,20,가슴 답답; 가슴 두근거림; 함몰가슴; 천명음; 청색증; 검은색 가래; 탈장; 가래; 발한; 피부홍조; 불안; 근육통; 삼키기 곤란; 결막염; 마찰음; 감기 증상; 반복되는 폐렴; 기침; 눈꼽; 거품이 섞인 가래,가슴이 답답하고 뭐가 꽉 누르는 것 같아요.,,있음,symptom,1,0
C,eval_030,miss_all_gold|extraction_gold_mismatch,호흡곤란,,호흡곤란,20,가슴 답답; 천명음; 화농성 객담; 복벽이 움푹 들어감; 감기 증상; 기침; 빈호흡; 구토; 체중감소; 천식; 질식; 두통; 결막염; 기운없음; 폐기능저하; 의식 저하; 설사; 말초부종; 가래; 함몰가슴,약을 먹는데도 숨찬 게 데우 안 나아져요.,,있음,symptom,1,0
C,eval_031,negative_hit|extraction_gold_mismatch,,근육통,기침,20,기침; 구토; 가슴 답답; 가래; 검은색 가래; 결막염; 삼키기 곤란; 감기 증상; 빈호흡; 천명음; 체중감소; 화농성 객담; 두통; 근육통; 폐부종; 오한; 객혈; 운동 시 호흡곤란; 빈맥; 식욕부진,몸살은 풀렸는데 기침이 안 떨어져요.,,있음,symptom,1,0
C,eval_032,negative_hit|extraction_gold_mismatch,,오한,근육통,20,온몸이 떨림; 오한; 권태감; 열; 두통; 가래; 근육통; 객혈; 구토; 가슴 답답; 곤봉지; 기침; 결막염; 감기 증상; 코막힘; 재채기; 콧물; 빈호흡; 발한; 식욕부진,오한은 가셨는데 온몸이 쑤시고 결리는 건 남았어요.,,있음,symptom,1,0
C,eval_033,miss_all_gold|extraction_gold_mismatch,오한,,오한,20,복벽이 움푹 들어감; 결막염; 콧물; 가래; 감기 증상; 창백; 화농성 객담; 재채기; 눈의 충혈; 눈이 무거운 느낌; 흉수; 객혈; 인지장애; 탈장; 의식 변화; 부정맥; 방사통; 가슴 답답; 폐기능저하; 사래걸림,한기가 들어서 이불을 덮어도 춥드래요.,,있음,symptom,1,0
C,eval_034,negative_hit|extraction_gold_mismatch,,재채기,기침,20,재채기; 기침; 구토; 가래; 결막염; 검은색 가래; 천명음; 빈호흡; 화농성 객담; 감기 증상; 체중감소; 식욕부진; 폐부종; 콧물; 빈맥; 오한; 불안; 두통; 청색증; 가슴 답답,"약은 없고, 재채기는 안 나는데 기침만 나오드래요.",,있음,symptom,1,0
C,eval_035,negative_hit|extraction_gold_mismatch,,가슴 답답,가슴 두근거림,20,가슴 답답; 가슴 두근거림; 함몰가슴; 삼키기 곤란; 심부전; 운동 시 호흡곤란; 결막염; 사망; 콧물; 고탄산증; 호기의 증가; 감기 증상; 가래; 기침; 근력 약화; 검은색 가래; 지남력 장애; 눈이 무거운 느낌; 청색증; 거품이 섞인 가래,가슴 답답한 건 가셨는데 인제 두근거리는 게 데우 심해요.,,있음,symptom,1,0
