variant,case_id,span_index,query,rank,candidate,slot_id,rank_score,bm25_score,vector_score,label_score,retrieval_branch,embedding_provider,embedding_model,score_mode,gate_decision,gate_reason,gate_support_score,gate_specificity_score,linker_decision,linker_reason,linker_selected,linker_scope
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,1,호흡곤란,dyspnea,0.0796,1.0,0.3996,0.78,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,true,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,2,운동 시 호흡곤란,symptom:a243309094,0.0778,0.5659,0.3466,0.1406,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,3,빈호흡,symptom:e3fb3f1d30,0.0756,0.3617,0.4017,0.0536,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,4,삼키기 곤란,dysphagia,0.0736,0.5291,0.2543,0.0469,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,5,호흡기감염,symptom:1d4021c99f,0.0707,0.2378,0.2973,0.0469,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,6,눈이 무거운 느낌,symptom:b3dcf8a9c5,0.0685,0.3562,0.2087,0.0417,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,7,수유 곤란,symptom:50b724dad2,0.0459,0.088,0.1192,0.05,rrf_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,8,불안,symptom:31e7e68566,0.0392,0.4222,0.3946,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,9,기침,cough,0.0388,0.4359,0.3381,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,10,흉통,chest_pain,0.0388,0.8218,0.2548,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,11,가슴 답답,chest_discomfort,0.0375,0.3571,0.3272,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,12,폐부종,symptom:2c8be00e20,0.0373,0.5721,0.2255,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,13,피부홍조,symptom:9b18d49e37,0.0373,0.3762,0.3052,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,14,권태감,symptom:31a60ea1ae,0.0369,0.3496,0.3201,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,15,발한,symptom:361b63bbd3,0.0366,0.3908,0.2822,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,16,체중감소,symptom:ed4d516e68,0.0364,0.5053,0.2188,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,17,천명음,wheezing,0.0358,0.5009,0.2125,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,18,청색증,symptom:2255dfd144,0.0356,0.3981,0.2441,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,19,빈맥,symptom:920af2278a,0.0345,0.2057,0.2844,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,20,함몰가슴,symptom:9d31f655f3,0.0337,0.2632,0.2435,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",1,사래걸림,symptom:92ca1277c1,0.0774,1.0,0.1643,0.0417,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,true,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",2,가래,sputum,0.0422,0.5308,0.218,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",3,검은색 가래,symptom:c9b9036b3a,0.0413,0.3209,0.1874,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",4,기침,cough,0.0403,0.3189,0.1752,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",5,구토,symptom:29fe75f845,0.0391,0.178,0.1746,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",6,객혈,hemoptysis,0.0372,0.1879,0.1411,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",7,운동 시 호흡곤란,symptom:a243309094,0.035,0.2122,0.1065,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",8,설사,symptom:9c88ae340b,0.0177,0.0,0.2073,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",9,천식,symptom:6a75325fe5,0.0172,0.0,0.182,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",10,사지 부종,symptom:bf32e52932,0.0169,0.0,0.1778,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",11,결막염,symptom:7a281d2ec2,0.0162,0.0,0.1743,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",12,호기의 증가,symptom:0a6604a5d8,0.0159,0.0,0.1701,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",13,화농성 객담,symptom:54da254b40,0.0157,0.0,0.1687,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",14,저산소증,symptom:b3d40f3209,0.0154,0.2817,0.0691,0.0,rrf_bm25,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",15,무증상,symptom:e057a2105c,0.0153,0.0,0.1602,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",16,재채기,symptom:f0ff1b70a5,0.0151,0.0,0.1536,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",17,식욕부진,symptom:8678ac0397,0.0149,0.0,0.152,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
G,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",18,감기 증상,symptom:cabd50b0e8,0.0147,0.0,0.1484,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,사래가 자주 걸리는 증상은 '사래걸림'과 직접 대응합니다.,false,top_k
