variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
O,eval_004,negative_hit,,재채기,콧물,20,콧물; 결막염; 코막힘; 두통; 재채기; 근육통; 오한; 구토; 열; 기침; 운동 시 호흡곤란; 설사; 호흡곤란; 호기의 증가; 불안; 사망; 피부홍조; 의식 변화; 흉곽 팽윤; 권태감,콧물 콧물,콧물,있음,oracle_gold,1,0
O,eval_031,negative_hit,,근육통,기침,20,기침; 천명음; 검은색 가래; 결막염; 구토; 가래; 화농성 객담; 오한; 근육통; 감기 증상; 빈맥; 빈호흡; 운동 시 호흡곤란; 콧물; 두통; 식욕부진; 호흡곤란; 가슴 답답; 폐부종; 체중감소,기침 기침,기침,있음,oracle_gold,1,0
O,eval_032,negative_hit,,오한,근육통,20,근육통; 두통; 권태감; 발한; 근력 약화; 근긴장의 이상; 심부전; 말초부종; 압통; 박동성 통증; 반복되는 폐렴; 가슴 두근거림; 오한; 방사통; 다발성 장기부전 증상; 결막염; 피부홍조; 의식 변화; 불안; 코막힘,근육통 근육통,근육통,있음,oracle_gold,1,0
O,eval_035,negative_hit,,가슴 답답,가슴 두근거림,20,가슴 두근거림; 가슴 답답; 함몰가슴; 삼키기 곤란; 청색증; 가래; 사망; 사래걸림; 기침; 지남력 장애; 검은색 가래; 운동 시 호흡곤란; 거품이 섞인 가래; 결막염; 반복되는 폐렴; 심부전; 재채기; 온몸이 떨림; 호흡기감염; 호기의 증가,가슴 두근거림 가슴 두근거림,가슴 두근거림,있음,oracle_gold,1,0
O,eval_037,negative_hit,,기침,가래,20,가래; 검은색 가래; 거품이 섞인 가래; 기침; 화농성 객담; 구토; 객혈; 감기 증상; 운동 시 호흡곤란; 체중감소; 마찰음; 사래걸림; 가슴 답답; 천명음; 목소리 변화; 눈꼽; 사지 부종; 온몸이 떨림; 질식; 천식,가래 가래,가래,있음,oracle_gold,1,0
O,eval_039,negative_hit,,콧물,코막힘,20,코막힘; 콧물; 질식; 열; 압통; 결막염; 사래걸림; 빈맥; 눈꼽; 지남력 장애; 부정맥; 근긴장의 이상; 눈의 충혈; 흉부압박감; 서맥; 기운없음; 창백; 사망; 목의 통증; 복부팽만감,코막힘 코막힘,코막힘,있음,oracle_gold,1,0
O,eval_047,negative_hit,,가래,가슴 답답,20,가슴 답답; 가슴 두근거림; 함몰가슴; 삼키기 곤란; 청색증; 기침; 결막염; 가래; 근육통; 화농성 객담; 감기 증상; 빈호흡; 심부전; 말초부종; 천명음; 목소리 변화; 검은색 가래; 저산소증; 거품이 섞인 가래; 지남력 장애,가슴 답답 가슴 답답,가슴 답답,있음,oracle_gold,1,0
O,eval_050,negative_hit,,콧물,코막힘,20,코막힘; 콧물; 질식; 열; 압통; 결막염; 사래걸림; 빈맥; 눈꼽; 지남력 장애; 부정맥; 근긴장의 이상; 눈의 충혈; 흉부압박감; 서맥; 기운없음; 창백; 사망; 목의 통증; 복부팽만감,코막힘 코막힘,코막힘,있음,oracle_gold,1,0
O,eval_053,negative_hit,,가래,기침,20,기침; 천명음; 검은색 가래; 결막염; 구토; 가래; 화농성 객담; 오한; 근육통; 감기 증상; 빈맥; 빈호흡; 운동 시 호흡곤란; 콧물; 두통; 식욕부진; 호흡곤란; 가슴 답답; 폐부종; 체중감소,기침 기침,기침,있음,oracle_gold,1,0
O,eval_071,negative_hit,,어지러움,기운없음,20,기운없음; 호기의 증가; 빈호흡; 천식; 흉곽 팽윤; 식욕부진; 천명음; 불안; 권태감; 발한; 가래; 체중감소; 고탄산증; 운동 시 호흡곤란; 압통; 마찰음; 창백; 어지러움; 빈맥; 폐기능저하,기운없음 기운없음,기운없음,있음,oracle_gold,1,0
O,eval_088,negative_hit,,기침,가래,20,가래; 검은색 가래; 거품이 섞인 가래; 기침; 화농성 객담; 구토; 객혈; 감기 증상; 운동 시 호흡곤란; 체중감소; 마찰음; 사래걸림; 가슴 답답; 천명음; 목소리 변화; 눈꼽; 사지 부종; 온몸이 떨림; 질식; 천식,가래 가래,가래,있음,oracle_gold,1,0
O,eval_094,negative_hit,,기침,화농성 객담,20,화농성 객담; 체중감소; 기침; 근육통; 폐부종; 오한; 천명음; 질식; 창백; 천식; 식욕부진; 마찰음; 가래; 박동성 통증; 코막힘; 흉부압박감; 어지러움; 사래걸림; 객혈; 방사통,화농성 객담 화농성 객담,화농성 객담,있음,oracle_gold,1,0
O,eval_097,negative_hit,,열,두통,20,두통; 근육통; 열; 권태감; 구토; 오한; 불안; 발한; 피부홍조; 피로감; 압통; 흉통; 복부 통증; 천명음; 사망; 코막힘; 호기의 증가; 결막염; 천식; 기침,두통 두통,두통,있음,oracle_gold,1,0
