variant,case_id,span_index,query,rank,candidate,slot_id,rank_score,bm25_score,vector_score,label_score,retrieval_branch,embedding_provider,embedding_model,score_mode,gate_decision,gate_reason,gate_support_score,gate_specificity_score,linker_decision,linker_reason,linker_selected,linker_scope
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,1,복벽이 움푹 들어감,symptom:4b1674fb28,0.0751,0.3378,0.1309,0.0375,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,2,가슴 답답,chest_discomfort,0.0403,1.0,0.1547,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,3,가래,sputum,0.0382,0.3677,0.1365,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,4,탈장,symptom:d7c26014b2,0.0355,0.0923,0.1184,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,5,빈호흡,symptom:e3fb3f1d30,0.018,0.0,0.2033,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,6,기침,cough,0.0177,0.0,0.1992,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,7,빈맥,symptom:920af2278a,0.0175,0.0,0.1933,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,8,구토,symptom:29fe75f845,0.0172,0.0,0.1868,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,9,지남력 장애,symptom:78fcb0137a,0.0169,0.0,0.1793,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,10,검은색 가래,symptom:c9b9036b3a,0.0167,0.0,0.1787,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,11,어지러움,symptom:9e9c6673c9,0.0164,0.0,0.1618,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,12,화농성 객담,symptom:54da254b40,0.0162,0.0,0.156,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,13,열,fever,0.0157,0.0,0.1514,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,14,감기 증상,symptom:cabd50b0e8,0.0155,0.0,0.1491,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,15,말초부종,symptom:331b559ac3,0.0153,0.0,0.148,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,16,코막힘,nasal_obstruction,0.0151,0.0,0.1436,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,17,식욕부진,symptom:8678ac0397,0.0149,0.0,0.1389,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,18,기운없음,symptom:3a6b475b6a,0.0147,0.0,0.1381,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,19,불안,symptom:31e7e68566,0.0145,0.0,0.1372,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,20,결막염,symptom:7a281d2ec2,0.0143,0.0,0.1366,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",1,사래걸림,symptom:92ca1277c1,0.0774,1.0,0.1643,0.0417,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",2,가래,sputum,0.0422,0.5308,0.218,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",3,검은색 가래,symptom:c9b9036b3a,0.0413,0.3209,0.1874,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",4,기침,cough,0.0403,0.3189,0.1752,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",5,구토,symptom:29fe75f845,0.0391,0.178,0.1746,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",6,객혈,hemoptysis,0.0372,0.1879,0.1411,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",7,운동 시 호흡곤란,symptom:a243309094,0.035,0.2122,0.1065,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",8,설사,symptom:9c88ae340b,0.0177,0.0,0.2073,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",9,천식,symptom:6a75325fe5,0.0172,0.0,0.182,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",10,사지 부종,symptom:bf32e52932,0.0169,0.0,0.1778,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",11,결막염,symptom:7a281d2ec2,0.0162,0.0,0.1743,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_002,0,"약은 없고, 물만 마셔도 사래가 자주 걸려요.",12,호기의 증가,symptom:0a6604a5d8,0.0159,0.0,0.1701,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
